Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Player-additional
Marc Iavaroni,1983,1989,F,6-8,210,September 15 1956,Virginia,iavarma01
Serge Ibaka,2010,2023,F-C,6-11,235,September 18 1989,,ibakase01
Oso Ighodaro,2025,2025,F,6-10,235,July 14 2002,Marquette,ighodos01
Andre Iguodala,2005,2023,F-G,6-6,215,January 28 1984,Arizona,iguodan01
Zydrunas Ilgauskas,1998,2011,C,7-3,238,June 5 1975,,ilgauzy01
Mile Ilić,2007,2007,C,7-1,230,June 2 1984,,ilicmi01
D.J. Mbenga,2005,2011,C,7-0,245,December 30 1980,,mbengdj01
Ersan İlyasova,2007,2021,F,6-9,235,May 15 1987,,ilyaser01
Darrall Imhoff,1961,1972,C,6-10,220,October 11 1938,California,imhofda01
Tom Ingelsby,1974,1976,G,6-3,180,February 12 1951,Villanova,ingelto01
Joe Ingles,2015,2025,F-G,6-8,220,October 2 1987,,inglejo01
Damien Inglis,2016,2016,F,6-8,246,May 20 1995,,inglida01
Andre Ingram,2018,2019,G,6-3,190,November 19 1985,American University,ingraan01
Brandon Ingram,2017,2025,F,6-8,190,September 2 1997,Duke,ingrabr01
Harrison Ingram,2025,2025,F,6-5,230,November 27 2002,Stanford UNC,ingraha01
McCoy Ingram,1958,1958,F,6-8,210,August 31 1931,Jackson State University,ingramc01
Ervin Inniger,1968,1969,G,6-4,190,January 16 1945,Indiana,inniger01
Byron Irvin,1990,1993,G,6-5,190,December 2 1966,Arkansas Missouri,irvinby01
George Irvine,1971,1976,F-G,6-6,200,February 1 1948,Washington,irvinge01
Kyrie Irving,2012,2025,G,6-2,195,March 23 1992,Duke,irvinky01
Jonathan Isaac,2018,2025,F,6-10,230,October 3 1997,Florida State,isaacjo01
Dan Issel*,1971,1985,C-F,6-9,235,October 25 1948,Kentucky,isselda01
Mike Iuzzolino,1992,1993,G,5-10,175,January 22 1968,Penn State Saint Francis University,iuzzomi01
Allen Iverson*,1997,2010,G,6-0,165,June 7 1975,Georgetown,iversal01
Willie Iverson,1969,1969,G,6-0,180,October 8 1945,Central Michigan University,iverswi01
Jaden Ivey,2023,2025,G,6-4,195,February 13 2002,Purdue,iveyja01
Royal Ivey,2005,2014,G,6-3,200,December 20 1981,Texas,iveyro01
Elvin Ivory,1969,1969,F,6-8,210,July 2 1948,Louisiana,ivoryel01
Wes Iwundu,2018,2022,F,6-6,195,December 20 1994,Kansas State,iwundwe01
