Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Alaa Abdelnaby,1995,1995,1,51,476,117,220,0,2,20,35,34,106,13,15,12,40,102,254,.532,.000,.571,9.3,5.0,2.1,0.3,0.3,0.2,abdelal01
2,Zaid Abdul-Aziz,1969,1969,1,20,108,18,43,,,2,7,,31,4,,,,17,38,.419,,.286,5.4,1.9,1.6,0.2,,,abdulza01
3,Mahmoud Abdul-Rauf,1997,1998,2,106,2661,514,1197,99,277,131,152,22,159,247,72,7,138,205,1258,.429,.357,.862,25.1,11.9,1.5,2.3,0.7,0.1,abdulma02
4,Tariq Abdul-Wahad,1998,1999,2,108,2164,321,764,10,40,178,261,116,302,101,85,29,135,202,830,.420,.250,.682,20.0,7.7,2.8,0.9,0.8,0.3,abdulta01
5,Shareef Abdur-Rahim,2006,2008,3,158,4027,645,1300,8,42,392,516,234,765,262,102,82,225,479,1690,.496,.190,.760,25.5,10.7,4.8,1.7,0.6,0.5,abdursh01
6,Quincy Acy,2014,2016,2,115,1662,179,341,21,59,80,113,132,389,51,48,47,55,217,459,.525,.356,.708,14.5,4.0,3.4,0.4,0.4,0.4,acyqu01
7,Michael Adams,1986,1986,1,18,139,16,44,0,3,8,12,2,6,22,9,1,11,9,40,.364,.000,.667,7.7,2.2,0.3,1.2,0.5,0.1,adamsmi01
8,Rick Adelman,1975,1975,1,18,121,13,28,,,4,5,6,14,8,7,1,,12,30,.464,,.800,6.7,1.7,0.8,0.4,0.4,0.1,adelmri01
9,Arron Afflalo,2017,2017,1,61,1580,185,420,62,151,83,93,9,125,78,21,6,42,104,515,.440,.411,.892,25.9,8.4,2.0,1.3,0.3,0.1,afflaar01
10,Danny Ainge,1989,1990,2,103,3755,715,1616,166,439,313,379,103,427,640,154,25,248,316,1909,.442,.378,.826,36.5,18.5,4.1,6.2,1.5,0.2,aingeda01
11,Cole Aldrich,2013,2013,1,15,175,21,37,0,0,8,11,18,63,3,2,14,9,19,50,.568,,.727,11.7,3.3,4.2,0.2,0.1,0.9,aldrico01
12,Lucius Allen,1978,1979,2,108,2560,442,1020,,,193,253,80,275,404,114,34,247,232,1077,.433,,.763,23.7,10.0,2.5,3.7,1.1,0.3,allenlu01
13,Randy Allen,1989,1990,2,70,789,114,258,0,8,24,45,52,145,23,17,20,30,109,252,.442,.000,.533,11.3,3.6,2.1,0.3,0.2,0.3,allenra01
14,Peter Aluma,1999,1999,1,2,5,1,2,0,0,0,0,1,2,0,1,1,2,4,2,.500,,,2.5,1.0,1.0,0.0,0.5,0.5,alumape01
15,James Anderson,2016,2016,1,51,721,67,178,23,86,22,29,13,86,41,21,14,42,54,179,.376,.267,.759,14.1,3.5,1.7,0.8,0.4,0.3,anderja01
16,Nick Anderson,2000,2001,2,93,2263,320,839,142,436,37,76,86,364,136,104,20,102,131,819,.381,.326,.487,24.3,8.8,3.9,1.5,1.1,0.2,anderni01
17,Wally Anderzunas,1970,1970,1,44,370,65,166,,,29,46,,82,9,,,,47,159,.392,,.630,8.4,3.6,1.9,0.2,,,anderwa01
18,Tiny Archibald,1971,1976,6,433,17520,3946,8451,,,3002,3635,136,1207,3499,301,29,,1055,10894,.467,,.826,40.5,25.2,2.8,8.1,1.5,0.1,architi01
19,Trevor Ariza,2020,2020,1,32,791,64,165,43,122,21,27,21,146,50,35,7,28,63,192,.388,.352,.778,24.7,6.0,4.6,1.6,1.1,0.2,arizatr01
